coach_name,team_name
Ottavio Bianchi,Como 1907
Ottavio Bianchi,SSC Napoli
Ottavio Bianchi,A.S. Roma
Ottavio Bianchi,SSC Napoli
Ottavio Bianchi,Inter Milan
Ottavio Bianchi,ACF Fiorentina
Luis Diego López,Club Atlético Peñarol
Luis Diego López,Brescia Calcio
Stefano Colantuono,S.S. Sambenedettese Calcio
Stefano Pioli,U.S. Salernitana 1919
Stefano Pioli,Modena F.C.
Stefano Pioli,Modena F.C.
Stefano Pioli,Parma Calcio 1913
Stefano Pioli,U.S. Grosseto 1912
Stefano Pioli,Piacenza Calcio
Stefano Pioli,US Sassuolo Calcio
Stefano Pioli,AC ChievoVerona
Stefano Pioli,Palermo F.C.
Stefano Pioli,Bologna F.C. 1909
Stefano Pioli,SS Lazio
Stefano Pioli,Inter Milan
Stefano Pioli,ACF Fiorentina
Stefano Pioli,AC Milan
Stefano Pioli,Al-Nassr
Walter Mazzarri,Città di Acireale 1946
Walter Mazzarri,Pistoiese FC
Walter Mazzarri,US Livorno 1915
Walter Mazzarri,AS Reggina 1914
Walter Mazzarri,U.C. Sampdoria
Walter Mazzarri,SSC Napoli
Walter Mazzarri,Inter Milan
Walter Mazzarri,Watford F.C.
Walter Mazzarri,Torino FC
Walter Mazzarri,Cagliari Calcio
Walter Mazzarri,SSC Napoli
Giovanni Galeone,Pordenone FC
Roberto De Zerbi,U.S. Darfo Boario S.S.D.
Roberto De Zerbi,Calcio Foggia 1920
Roberto De Zerbi,Palermo F.C.
Roberto De Zerbi,Benevento Calcio
Roberto De Zerbi,US Sassuolo Calcio
Roberto De Zerbi,FC Shakhtar Donetsk
Roberto De Zerbi,Brighton & Hove Albion F.C.
Roberto De Zerbi,Olympique de Marseille
Luis Carniglia,AC Milan
Renzo Ulivieri,A.C. Prato
Giuseppe Iachini,ACF Fiorentina
Vincenzo Italiano,Bologna F.C. 1909
Gabriele Cioffi,Birmingham City F.C.
Alberto Malesani,Panathinaikos F.C.
�scar Tabárez,C.A. Bella Vista
�scar Tabárez,Uruguay national under-20 football team
�scar Tabárez,Danubio F.C.
�scar Tabárez,Montevideo Wanderers Fútbol Club
�scar Tabárez,Uruguay national under-20 football team
�scar Tabárez,Penarol Atlético Clube
�scar Tabárez,Deportivo Cali
�scar Tabárez,Uruguay men's national football team
�scar Tabárez,Boca Juniors
�scar Tabárez,Cagliari Calcio
�scar Tabárez,AC Milan
�scar Tabárez,Real Oviedo
�scar Tabárez,Cagliari Calcio
�scar Tabárez,Club Atlético Vélez Sarsfield
�scar Tabárez,Boca Juniors
�scar Tabárez,Uruguay men's national football team
Alberto Cavasin,Leyton Orient F.C.
William Garbutt,AC Milan
Gianni De Biasi,Football Club Bassano 1903
Ljubiša Broćić,FC Barcelona
Eusebio Di Francesco,Lanciano Calcio 1920
Eusebio Di Francesco,Delfino Pescara 1936
Eusebio Di Francesco,US Lecce
Eusebio Di Francesco,US Sassuolo Calcio
Eusebio Di Francesco,US Sassuolo Calcio
Eusebio Di Francesco,A.S. Roma
Eusebio Di Francesco,Cagliari Calcio
Eusebio Di Francesco,U.C. Sampdoria
Eusebio Di Francesco,Hellas Verona FC
Eusebio Di Francesco,Frosinone Calcio
Eusebio Di Francesco,Venezia F.C.
Gian Piero Gasperini Jotolon,A.S. Roma
Giovanni Stroppa,AC Milan
William Chalmers,Aldershot F.C.
Federico Munerati,A.S.D. Biellese 1902
József Viola,AC Milan
Carlo Parola,SSC Ancona
Andrea Mandorlini,U.S. Triestina Calcio 1918
Andrea Mandorlini,Spezia Calcio
Andrea Mandorlini,LR Vicenza
Andrea Mandorlini,Atalanta BC
Andrea Mandorlini,Bologna F.C. 1909
Andrea Mandorlini,Calcio Padova
Andrea Mandorlini,Siena FC
Andrea Mandorlini,US Sassuolo Calcio
Andrea Mandorlini,CFR Cluj
Andrea Mandorlini,Hellas Verona FC
Andrea Mandorlini,Genoa CFC
Andrea Mandorlini,U.S. Cremonese
