coach_qid,startDate,endDate,origin,League
Q1280931,1966-07-01T00:00:00Z,1968-02-18T00:00:00Z,Italian,Italy
Q1280931,1969-07-01T00:00:00Z,1971-06-30T00:00:00Z,Italian,Italy
Q1280931,1997-03-19T00:00:00Z,1997-10-05T00:00:00Z,Italian,Italy
Q227892,2024-06-12T00:00:00Z,2024-12-23T00:00:00Z,Italian,Italy
Q282551,2022-01-01T00:00:00Z,2024-01-01T00:00:00Z,Italian,Italy
Q10346582,2024-06-13T00:00:00Z,2024-12-29T00:00:00Z,Foreign,Italy
Q116980,2017-11-27T00:00:00Z,2019-05-28T00:00:00Z,Italian,Italy
Q126503,2014-06-01T00:00:00Z,2015-06-01T00:00:00Z,Italian,Italy
Q1280931,1981-07-01T00:00:00Z,1982-01-24T00:00:00Z,Italian,Italy
Q1337031,1982-07-01T00:00:00Z,1984-03-26T00:00:00Z,Italian,Italy
Q15149,1996-01-01T00:00:00Z,1996-01-01T00:00:00Z,Foreign,Italy
Q174614,2001-11-05T00:00:00Z,2009-05-31T00:00:00Z,Italian,Italy
Q183108,1987-04-05T00:00:00Z,1987-06-30T00:00:00Z,Italian,Italy
Q183108,1991-07-01T00:00:00Z,1996-06-30T00:00:00Z,Italian,Italy
Q183108,1997-07-01T00:00:00Z,1998-06-30T00:00:00Z,Italian,Italy
Q262203,2001-07-01T00:00:00Z,2001-11-05T00:00:00Z,Foreign,Italy
Q2704759,2019-06-19T00:00:00Z,2019-10-08T00:00:00Z,Italian,Italy
Q294259,1987-07-01T00:00:00Z,1991-06-30T00:00:00Z,Italian,Italy
Q294259,1996-12-01T00:00:00Z,1997-06-01T00:00:00Z,Italian,Italy
Q294351,2015-06-16T00:00:00Z,2016-04-12T00:00:00Z,Foreign,Italy
Q297768,2016-07-01T00:00:00Z,2017-11-27T00:00:00Z,Italian,Italy
Q317298,2024-12-30T00:00:00Z,,Foreign,Italy
Q354529,2010-05-25T00:00:00Z,2013-12-13T00:00:00Z,Italian,Italy
Q354529,2025-05-30T00:00:00Z,,Italian,Italy
Q44420,1975-10-02T00:00:00Z,1976-05-30T00:00:00Z,Italian,Italy
Q923088,2019-10-09T00:00:00Z,2024-06-01T00:00:00Z,Italian,Italy
Q1280931,1995-07-01T00:00:00Z,1996-02-25T00:00:00Z,Italian,Italy
Q191885,2019-10-22T00:00:00Z,2019-12-28T00:00:00Z,Italian,Italy
Q2537282,1975-02-03T00:00:00Z,1978-06-30T00:00:00Z,Italian,Italy
Q2537282,1980-07-01T00:00:00Z,1984-06-30T00:00:00Z,Italian,Italy
Q2537282,1987-07-01T00:00:00Z,1988-01-25T00:00:00Z,Italian,Italy
