coachName,nationality,nationality2,teamName,teamCountry
Tarcisio Burgnich,Italy,,US Livorno 1915,Italy
Giovanni Ferrari,Italy,,Juventus FC,Italy
Roberto Mancini,Italy,,Saudi Arabia men's national football team,National
Roberto Mancini,Italy,,ACF Fiorentina,Italy
Roberto Mancini,Italy,,SS Lazio,Italy
Roberto Mancini,Italy,,FC Zenit Saint Petersburg,Russia
Roberto Mancini,Italy,,Galatasaray S.K.,Turkey
Roberto Mancini,Italy,,Manchester City F.C.,United Kingdom
Roberto Mancini,Italy,,Inter Milan,Italy
Roberto Mancini,Italy,,Inter Milan,Italy
Roberto Mancini,Italy,,Italy men's national association football team,National
Vincenzo Montella,Italy,,Sevilla FC,Spain
Vincenzo Montella,Italy,,U.C. Sampdoria,Italy
Vincenzo Montella,Italy,,AC Milan,Italy
Vincenzo Montella,Italy,,Catania FC,Italy
Vincenzo Montella,Italy,,ACF Fiorentina,Italy
Vincenzo Montella,Italy,,ACF Fiorentina,Italy
Vincenzo Montella,Italy,,Adana Demirspor,Turkey
Vincenzo Montella,Italy,,Turkey men's national football team,National
Paulo Sousa,Portugal,,Queens Park Rangers F.C.,United Kingdom
Alfredo Foni,Italy,,Venezia F.C.,Italy
Luigi Di Biagio,Italy,,Italy national under-21 football team,National
Nils Liedholm,Sweden,,AC Milan,Italy
Marcello Lippi,Italy,,U.S. Città di Pontedera S.S.D.,Italy
Marcello Lippi,Italy,,Pistoiese FC,Italy
Marcello Lippi,Italy,,Guangzhou F.C.,People's Republic of China
Marcello Lippi,Italy,,China men's national football team,National
Marcello Lippi,Italy,,Juventus FC,Italy
Marcello Lippi,Italy,,Juventus FC,Italy
Marcello Lippi,Italy,,Atalanta BC,Italy
Marcello Lippi,Italy,,SSC Napoli,Italy
Marcello Lippi,Italy,,Siena FC,Italy
Marcello Lippi,Italy,,Lucchese 1905,Italy
Marcello Lippi,Italy,,U.C. Sampdoria under-19,Italy
Marcello Lippi,Italy,,Inter Milan,Italy
Marcello Lippi,Italy,,Carrarese Calcio,Italy
Marcello Lippi,Italy,,AC Cesena,Italy
Marcello Lippi,Italy,,Italy men's national association football team,National
Marcello Lippi,Italy,,Italy men's national association football team,National
Mircea Lucescu,Romania,,CS Corvinul Hunedoara,Romania
Mircea Lucescu,Romania,,Romania men's national association football team,National
Mircea Lucescu,Romania,,FC Dynamo Kyiv,Ukraine
Daniele De Rossi,Italy,,SPAL,Italy
Daniele De Rossi,Italy,,A.S. Roma,Italy
Carlos Bianchi,Argentina,,Paris Saint-Germain FC,France
Andrea Pirlo,Italy,,Fatih Karagümrük S.K.,Turkey
Andrea Pirlo,Italy,,Juventus FC,Italy
Andrea Pirlo,Italy,,U.C. Sampdoria,Italy
Andrea Pirlo,Italy,,Juventus F.C. Next Gen,Italy
Massimo brambella,Uruguay,,Club Atlético Peñarol,Uruguay
Cesare Maldini,Italy,,AC Milan,Italy
Vittorio Pozzo,Italy,,AC Milan,Italy
Ciro Ferrara,Italy,,Juventus FC,Italy
Cesare Prandelli,Italy,,Atalanta BC,Italy
Luigi Delneri,Italy,,A.S.G. Nocerina,Italy
Dejan Stanković,Serbia,,U.C. Sampdoria,Italy
Dejan Stanković,Serbia,,FK Crvena zvezda,Serbia
Thiago Motta,Italy,Brazil,Juventus FC,Italy
Thiago Motta,Italy,Brazil,Bologna F.C. 1909,Italy
Thiago Motta,Italy,Brazil,Genoa CFC,Italy
Thiago Motta,Italy,Brazil,Spezia Calcio,Italy
Roy Hodgson,United Kingdom,,Liverpool F.C.,United Kingdom
Roy Hodgson,United Kingdom,,Switzerland men's national football team,National
Roy Hodgson,United Kingdom,,Finland men's national football team,National
Roy Hodgson,United Kingdom,,Fulham F.C.,United Kingdom
