coach_qid,team_qid,team_label,startDate,endDate,League
Q116980,Q676899,Italy men's national association football team,2000-01-01T00:00:00Z,2010-01-01T00:00:00Z,Italy
Q116980,Q2913263,Italy national under-23 football team,2000-01-01T00:00:00Z,2000-01-01T00:00:00Z,Italy
Q116980,Q321061,FC Sion,2012-01-01T00:00:00Z,2013-01-01T00:00:00Z,Switzerland
Q276544,Q3589940,Croatia national under-17 football team,1993-01-01T00:00:00Z,1993-01-01T00:00:00Z,Croatia
Q276544,Q2331381,Croatia national under-21 football team,1994-01-01T00:00:00Z,2000-01-01T00:00:00Z,Croatia
Q276544,Q3446766,Croatia national under-19 football team,1995-01-01T00:00:00Z,1995-01-01T00:00:00Z,Croatia
Q276544,Q181216,HNK Hajduk Split,1995-01-01T00:00:00Z,1998-01-01T00:00:00Z,Croatia
Q276544,Q183525,HNK Trogir,1996-01-01T00:00:00Z,1996-01-01T00:00:00Z,Croatia
Q276544,Q134479,Croatia men's national football team,1997-01-01T00:00:00Z,2006-01-01T00:00:00Z,Croatia
Q276544,Q1422,Juventus FC,1998-01-01T00:00:00Z,2007-01-01T00:00:00Z,Italy
Q276544,Q2756,Siena FC,2005-01-01T00:00:00Z,2006-01-01T00:00:00Z,Italy
Q276544,Q181216,HNK Hajduk Split,2007-01-01T00:00:00Z,2008-01-01T00:00:00Z,Croatia
Q79983,Q622432,Rio Ave F.C.,1980-01-01T00:00:00Z,1982-01-01T00:00:00Z,Portugal
Q79983,Q216510,C.F. Os Belenenses,1982-01-01T00:00:00Z,1983-01-01T00:00:00Z,Portugal
Q79983,Q2474559,G.D. Sesimbra,1983-01-01T00:00:00Z,1985-01-01T00:00:00Z,Portugal
Q79983,Q10388036,Comércio e Indústria,1985-01-01T00:00:00Z,1987-01-01T00:00:00Z,Portugal
Q44420,Q1422,Juventus FC,1959-01-01T00:00:00Z,1971-01-01T00:00:00Z,Italy
Q44420,Q676899,Italy men's national association football team,1960-01-01T00:00:00Z,1964-01-01T00:00:00Z,Italy
Q44420,Q8633,Varese Calcio,1971-01-01T00:00:00Z,1972-01-01T00:00:00Z,Italy
Q126503,Q8476,AS Reggina 1914,,,Italy
Q126503,Q459794,Piacenza Calcio,1991-01-01T00:00:00Z,1995-01-01T00:00:00Z,Italy
Q126503,Q3963306,Società Calcio Leffe,1992-01-01T00:00:00Z,1993-01-01T00:00:00Z,Italy
Q126503,Q8639,Hellas Verona FC,1993-01-01T00:00:00Z,1994-01-01T00:00:00Z,Italy
Q126503,Q922698,Italy national under-21 football team,1993-01-01T00:00:00Z,1996-01-01T00:00:00Z,Italy
Q126503,Q2693,Parma Calcio 1913,1995-01-01T00:00:00Z,1996-01-01T00:00:00Z,Italy
Q126503,Q1886,Atalanta BC,1996-01-01T00:00:00Z,1997-01-01T00:00:00Z,Italy
Q126503,Q676899,Italy men's national association football team,1997-01-01T00:00:00Z,2007-01-01T00:00:00Z,Italy
Q126503,Q1422,Juventus FC,1997-01-01T00:00:00Z,2001-01-01T00:00:00Z,Italy
Q126503,Q1543,AC Milan,2001-01-01T00:00:00Z,2012-01-01T00:00:00Z,Italy
Q294718,Q1886,Atalanta BC,1982-01-01T00:00:00Z,1986-01-01T00:00:00Z,Italy
Q294718,Q922698,Italy national under-21 football team,1984-01-01T00:00:00Z,1986-01-01T00:00:00Z,Italy
Q294718,Q676899,Italy men's national association football team,1986-01-01T00:00:00Z,1996-01-01T00:00:00Z,Italy
Q294718,Q1543,AC Milan,1986-01-01T00:00:00Z,1996-01-01T00:00:00Z,Italy
Q294718,Q204220,New York Red Bulls,1996-01-01T00:00:00Z,1997-01-01T00:00:00Z,United States
Q294718,Q1543,AC Milan,1997-01-01T00:00:00Z,1999-01-01T00:00:00Z,Italy
Q294718,Q309480,Al Ittihad FC,1999-01-01T00:00:00Z,2000-01-01T00:00:00Z,Saudi Arabia
Q102027,Q2641,SSC Napoli,1992-01-01T00:00:00Z,1995-01-01T00:00:00Z,Italy
Q102027,Q922698,Italy national under-21 football team,1993-01-01T00:00:00Z,1996-01-01T00:00:00Z,Italy
Q102027,Q2693,Parma Calcio 1913,1995-01-01T00:00:00Z,2002-01-01T00:00:00Z,Italy
Q102027,Q676899,Italy men's national association football team,1997-01-01T00:00:00Z,2010-01-01T00:00:00Z,Italy
Q102027,Q631,Inter Milan,2002-01-01T00:00:00Z,2004-01-01T00:00:00Z,Italy
Q102027,Q1422,Juventus FC,2004-01-01T00:00:00Z,2006-01-01T00:00:00Z,Italy
Q102027,Q8682,Real Madrid CF,2006-01-01T00:00:00Z,2009-01-01T00:00:00Z,Spain
Q102027,Q1422,Juventus FC,2009-01-01T00:00:00Z,2010-01-01T00:00:00Z,Italy
Q102027,Q424943,Shabab AlAhli Dubai Club,2010-01-01T00:00:00Z,2011-01-01T00:00:00Z,United Arab Emirates
Q3362674,Q8633,Varese Calcio,1990-01-01T00:00:00Z,1991-01-01T00:00:00Z,Italy
Q3362674,Q3626922,US Corsico,1992-01-01T00:00:00Z,1993-01-01T00:00:00Z,Italy
Q3362674,Q501245,Venezia F.C.,1993-01-01T00:00:00Z,1995-01-01T00:00:00Z,Italy
Q3362674,Q8639,Hellas Verona FC,1995-01-01T00:00:00Z,1998-01-01T00:00:00Z,Italy
Q3362674,Q2693,Parma Calcio 1913,1998-01-01T00:00:00Z,2000-01-01T00:00:00Z,Italy
Q3362674,Q676899,Italy men's national association football team,1999-01-01T00:00:00Z,2000-01-01T00:00:00Z,Italy
Q3362674,Q2052,ACF Fiorentina,2000-01-01T00:00:00Z,2002-01-01T00:00:00Z,Italy
Q3362674,Q1893,Bologna F.C. 1909,2002-01-01T00:00:00Z,2003-01-01T00:00:00Z,Italy
Q3362674,Q19597,Rangers F.C.,2003-01-01T00:00:00Z,2004-01-01T00:00:00Z,United Kingdom
Q3362674,Q8643,Vicenza Calcio,2005-01-01T00:00:00Z,2005-01-01T00:00:00Z,Italy
Q3362674,Q420755,A.P.O. Akratitos Ano Liosia,2005-01-01T00:00:00Z,2006-01-01T00:00:00Z,Greece
Q110111,Q1140767,Degerfors IF,1940-01-01T00:00:00Z,1944-01-01T00:00:00Z,Sweden
Q110111,Q160826,Sweden men's national football team,1942-01-01T00:00:00Z,1948-01-01T00:00:00Z,Sweden
Q110111,Q108001798,IFK Norrköping FK,1944-01-01T00:00:00Z,1949-01-01T00:00:00Z,Sweden
Q110111,Q1543,AC Milan,1949-01-01T00:00:00Z,1956-01-01T00:00:00Z,Italy
Q110111,Q2739,A.S. Roma,1956-01-01T00:00:00Z,1958-01-01T00:00:00Z,Italy
Q110111,Q1733992,Karlstad BK,1959-01-01T00:00:00Z,1961-01-01T00:00:00Z,Sweden
Q309645,Q2674,Palermo F.C.,,,Italy
Q309645,Q327172,Club Atlético Huracán,1920-01-01T00:00:00Z,1930-01-01T00:00:00Z,Argentina
Q309645,Q79800,Argentina men's national association football team,1930-01-01T00:00:00Z,1930-01-01T00:00:00Z,Argentina
Q309645,Q2074,Genoa CFC,1930-01-01T00:00:00Z,1934-01-01T00:00:00Z,Italy
Q309645,Q2641,SSC Napoli,1934-01-01T00:00:00Z,1935-01-01T00:00:00Z,Italy
Q309645,Q2074,Genoa CFC,1935-01-01T00:00:00Z,1936-01-01T00:00:00Z,Italy
Q309645,Q522283,Red Star F.C.,1935-01-01T00:00:00Z,1939-01-01T00:00:00Z,France
Q309645,Q2074,Genoa CFC,1935-01-01T00:00:00Z,1935-01-01T00:00:00Z,Italy
Q314511,Q1559720,Göteborgs AIK,1936-01-01T00:00:00Z,1937-01-01T00:00:00Z,Sweden
Q314511,Q1508540,Gårda BK,1937-01-01T00:00:00Z,1940-01-01T00:00:00Z,Sweden
Q314511,Q10685864,Sweden men's national football B team,1939-01-01T00:00:00Z,1956-01-01T00:00:00Z,Sweden
Q314511,Q160826,Sweden men's national football team,1940-01-01T00:00:00Z,1958-01-01T00:00:00Z,Sweden
Q314511,Q201567,IFK Göteborg,1941-01-01T00:00:00Z,1949-01-01T00:00:00Z,Sweden
Q314511,Q1543,AC Milan,1949-01-01T00:00:00Z,1953-01-01T00:00:00Z,Italy
Q314511,Q2052,ACF Fiorentina,1953-01-01T00:00:00Z,1955-01-01T00:00:00Z,Italy
Q314511,Q2074,Genoa CFC,1955-01-01T00:00:00Z,1956-01-01T00:00:00Z,Italy
Q314511,Q11903335,Örgryte IS Fotboll,1956-01-01T00:00:00Z,1957-01-01T00:00:00Z,Sweden
Q314511,Q391789,GAIS,1963-01-01T00:00:00Z,1964-01-01T00:00:00Z,Sweden
Q314511,Q538793,IFK Värnamo,1965-01-01T00:00:00Z,1966-01-01T00:00:00Z,Sweden
Q314511,Q1483030,IK Oddevold,1976-01-01T00:00:00Z,1976-01-01T00:00:00Z,Sweden
Q46741,Q17479,Clube de Regatas do Flamengo,1987-01-01T00:00:00Z,1990-01-01T00:00:00Z,Brazil
Q46741,Q2308235,Brazil national under-20 football team,1989-01-01T00:00:00Z,1989-01-01T00:00:00Z,Brazil
Q46741,Q83459,Brazil men's national football team,1990-01-01T00:00:00Z,2001-01-01T00:00:00Z,Brazil
Q46741,Q38568,São Paulo FC,1990-01-01T00:00:00Z,1991-01-01T00:00:00Z,Brazil
Q46741,Q10333,Valencia CF,1991-01-01T00:00:00Z,1993-01-01T00:00:00Z,Spain
Q46741,Q38568,São Paulo FC,1993-01-01T00:00:00Z,1994-01-01T00:00:00Z,Brazil
Q46741,Q16932,Kashima Antlers,1994-01-01T00:00:00Z,1996-01-01T00:00:00Z,Japan
Q46741,Q483020,Paris Saint-Germain FC,1996-01-01T00:00:00Z,1997-01-01T00:00:00Z,France
Q46741,Q1543,AC Milan,1997-01-01T00:00:00Z,2001-01-01T00:00:00Z,Italy
