coach_qid,coach_name,team_qid,team_name,played_there
Q2537282,Luigi Simoni,Q2074,Genoa CFC,1
Q2537282,Luigi Simoni,Q6651,Brescia Calcio,1
Q2537282,Luigi Simoni,Q2074,Genoa CFC,1
Q2537282,Luigi Simoni,Q289613,Pisa SC,0
Q2537282,Luigi Simoni,Q2609,SS Lazio,0
Q2537282,Luigi Simoni,Q289613,Pisa SC,0
Q2537282,Luigi Simoni,Q2074,Genoa CFC,1
Q2537282,Luigi Simoni,Q6703,Empoli FC,0
Q2537282,Luigi Simoni,Q1136016,Cosenza Calcio,0
Q2537282,Luigi Simoni,Q650365,Carrarese Calcio,0
Q2537282,Luigi Simoni,Q759482,U.S. Cremonese,0
Q2537282,Luigi Simoni,Q2641,SSC Napoli,1
Q2537282,Luigi Simoni,Q631,Inter Milan,0
Q2537282,Luigi Simoni,Q459794,Piacenza Calcio,0
Q2537282,Luigi Simoni,Q2768,Torino FC,1
Q2537282,Luigi Simoni,Q136433,PFC CSKA Sofia,0
Q2537282,Luigi Simoni,Q289029,SSC Ancona,0
Q2537282,Luigi Simoni,Q2641,SSC Napoli,1
Q2537282,Luigi Simoni,Q2756,Siena FC,0
Q2537282,Luigi Simoni,Q298333,Lucchese 1905,0
Q2537282,Luigi Simoni,Q298314,A.S. Gubbio 1910,0
Q2537282,Luigi Simoni,Q298314,A.S. Gubbio 1910,0
Q1376936,Lajos Czeizler,Q1543,AC Milan,1
Q125438,Massimo Oddo,Q2710,Delfino Pescara 1936,0
Q230529,Fabio Grosso,Q6641,SSC Bari,0
Q230529,Fabio Grosso,Q8639,Hellas Verona FC,0
Q230529,Fabio Grosso,Q6651,Brescia Calcio,0
Q230529,Fabio Grosso,Q321061,FC Sion,0
Q230529,Fabio Grosso,Q845043,Frosinone Calcio,0
