coach_qid,entity_qid,startDate,endDate
Q262203,Q495299,2017-12-22T00:00:00Z,2022-01-10T00:00:00Z
Q262203,Q4122219,2023-12-26T00:00:00Z,2024-05-17T00:00:00Z
Q262203,Q2636005,2024-12-27T00:00:00Z,
Q294351,Q1893,2008-11-03T00:00:00Z,2009-04-14T00:00:00Z
Q294351,Q2018,2009-12-08T00:00:00Z,2010-05-24T00:00:00Z
Q294351,Q2052,2010-06-04T00:00:00Z,2011-11-07T00:00:00Z
Q294351,Q182740,2012-05-21T00:00:00Z,2013-11-20T00:00:00Z
Q294351,Q1457,2013-11-20T00:00:00Z,2015-06-11T00:00:00Z
Q294351,Q1543,2015-06-16T00:00:00Z,2016-04-12T00:00:00Z
Q294351,Q2768,2016-05-25T00:00:00Z,2018-01-04T00:00:00Z
Q294351,Q75729,2018-06-18T00:00:00Z,2018-06-27T00:00:00Z
Q294351,Q1893,2019-01-28T00:00:00Z,
Q294302,Q309095,1998-08-24T00:00:00Z,1999-09-30T00:00:00Z
Q294302,Q25230762,2000-10-31T00:00:00Z,2001-01-18T00:00:00Z
Q294302,Q1195647,2002-07-01T00:00:00Z,2003-09-10T00:00:00Z
Q294302,Q179658,2004-07-01T00:00:00Z,2005-05-20T00:00:00Z
Q294302,Q173009,2005-07-22T00:00:00Z,2006-06-12T00:00:00Z
Q294302,Q285722,2006-06-12T00:00:00Z,2006-11-30T00:00:00Z
Q294302,Q204237,2007-08-31T00:00:00Z,2007-11-24T00:00:00Z
Q294302,Q2018,2008-04-01T00:00:00Z,2009-06-30T00:00:00Z
Q294302,Q2674,2009-07-01T00:00:00Z,2009-11-23T00:00:00Z
Q294302,Q482764,2010-05-10T00:00:00Z,2009-12-23T00:00:00Z
Q294302,Q812723,2011-01-01T00:00:00Z,2013-06-13T00:00:00Z
Q294302,Q429630,2013-10-25T00:00:00Z,2014-05-14T00:00:00Z
Q294302,Q812740,2014-12-01T00:00:00Z,2016-02-21T00:00:00Z
Q294302,Q1457,2015-06-11T00:00:00Z,2015-11-10T00:00:00Z
Q294302,Q19500,2016-08-01T00:00:00Z,2016-10-25T00:00:00Z
Q294302,Q6690,2016-12-08T00:00:00Z,2018-06-30T00:00:00Z
Q294302,Q501245,2018-10-12T00:00:00Z,2019-03-05T00:00:00Z
Q294302,Q1900,2020-03-03T00:00:00Z,2020-08-02T00:00:00Z
Q294302,Q1191998,2024-01-05T00:00:00Z,2024-04-23T00:00:00Z
Q503297,Q6767,,
Q382987,Q1422,,
Q48330,Q2052,2001-03-06T00:00:00Z,2002-01-14T00:00:00Z
Q48330,Q2609,2002-07-01T00:00:00Z,2004-06-30T00:00:00Z
Q48330,Q631,2004-07-01T00:00:00Z,2008-05-29T00:00:00Z
Q48330,Q50602,2009-12-19T00:00:00Z,2013-05-13T00:00:00Z
Q48330,Q495299,2013-09-30T00:00:00Z,2014-06-11T00:00:00Z
Q48330,Q631,2014-11-14T00:00:00Z,2016-08-08T00:00:00Z
Q48330,Q29108,2017-07-01T00:00:00Z,2018-05-13T00:00:00Z
Q48330,Q676899,2018-05-14T00:00:00Z,2023-08-13T00:00:00Z
Q48330,Q189723,2023-08-28T00:00:00Z,2024-10-24T00:00:00Z
Q297768,Q2018,2011-06-09T00:00:00Z,2012-06-05T00:00:00Z
Q297768,Q2052,2012-06-11T00:00:00Z,2015-06-08T00:00:00Z
Q297768,Q1457,2015-11-15T00:00:00Z,2016-06-28T00:00:00Z
Q297768,Q1543,2016-07-01T00:00:00Z,2017-11-27T00:00:00Z
Q297768,Q10329,2017-12-30T00:00:00Z,2018-04-28T00:00:00Z
Q297768,Q2052,2019-04-10T00:00:00Z,2019-12-21T00:00:00Z
Q297768,Q352251,2021-09-01T00:00:00Z,2023-06-12T00:00:00Z
Q297768,Q483856,2023-09-21T00:00:00Z,
Q314440,Q18723,,
Q469096,Q501245,,
Q314053,Q922698,,
Q312633,Q1543,,
Q43304,Q62024581,1982-07-01T00:00:00Z,1985-06-30T00:00:00Z
Q43304,Q1056821,1985-07-01T00:00:00Z,1986-06-30T00:00:00Z
Q43304,Q2756,1986-07-01T00:00:00Z,1987-06-30T00:00:00Z
Q43304,Q1279917,1987-07-01T00:00:00Z,1988-06-30T00:00:00Z
Q43304,Q650365,1988-07-01T00:00:00Z,1989-06-30T00:00:00Z
Q43304,Q6664,1989-07-01T00:00:00Z,1991-01-26T00:00:00Z
Q43304,Q298333,1991-07-01T00:00:00Z,1992-06-30T00:00:00Z
Q43304,Q1886,1992-07-01T00:00:00Z,1993-06-30T00:00:00Z
Q43304,Q2641,1993-07-01T00:00:00Z,1994-06-30T00:00:00Z
Q43304,Q1422,1994-07-01T00:00:00Z,1999-02-07T00:00:00Z
Q43304,Q631,1999-07-01T00:00:00Z,2000-10-01T00:00:00Z
Q43304,Q1422,2001-07-01T00:00:00Z,2004-05-28T00:00:00Z
Q43304,Q676899,2004-07-01T00:00:00Z,2006-07-12T00:00:00Z
Q43304,Q676899,2008-07-01T00:00:00Z,2010-06-30T00:00:00Z
Q43304,Q130521,2012-05-17T00:00:00Z,2014-11-02T00:00:00Z
Q43304,Q130582,2016-10-22T00:00:00Z,2019-01-25T00:00:00Z
Q342698,Q1135735,1979-01-01T00:00:00Z,1980-01-01T00:00:00Z
Q342698,Q179075,2020-07-01T00:00:00Z,2023-11-03T00:00:00Z
Q342698,Q168397,2024-08-06T00:00:00Z,
Q342698,Q5340416,2024-08-06T00:00:00Z,
Q168497,Q13385,2022-10-11T00:00:00Z,2023-02-14T00:00:00Z
Q168497,Q2739,2024-01-16T00:00:00Z,2024-09-18T00:00:00Z
Q449873,Q483020,,
Q43926,Q56025745,2020-07-01T00:00:00Z,2020-08-01T00:00:00Z
Q43926,Q1422,2020-08-01T00:00:00Z,2021-05-01T00:00:00Z
Q43926,Q1398111,2022-06-12T00:00:00Z,2023-05-24T00:00:00Z
Q43926,Q1457,2023-06-28T00:00:00Z,2024-08-29T00:00:00Z
Q342484,Q16320,,
Q296350,Q1543,,
Q318041,Q1543,,
Q314078,Q1422,,
Q218380,Q1886,,
Q332742,Q297680,,
Q192640,Q173009,2019-12-21T00:00:00Z,2022-08-26T00:00:00Z
Q192640,Q1457,2022-10-06T00:00:00Z,
Q191885,Q2074,2019-10-22T00:00:00Z,2019-12-28T00:00:00Z
Q191885,Q8615,2021-07-08T00:00:00Z,2022-06-28T00:00:00Z
Q191885,Q1893,2022-09-12T00:00:00Z,2024-05-24T00:00:00Z
Q191885,Q1422,2024-07-01T00:00:00Z,2025-03-23T00:00:00Z
Q203781,Q584858,1976-01-01T00:00:00Z,1980-09-30T00:00:00Z
Q203781,Q19456,1982-01-03T00:00:00Z,1982-04-30T00:00:00Z
Q203781,Q260559,1983-01-01T00:00:00Z,1984-06-30T00:00:00Z
Q203781,Q204881,1985-04-14T00:00:00Z,1989-11-15T00:00:00Z
Q203781,Q335195,1990-07-01T00:00:00Z,1991-12-31T00:00:00Z
Q203781,Q165141,1992-01-26T00:00:00Z,1995-11-15T00:00:00Z
Q203781,Q631,1995-10-16T00:00:00Z,1997-05-19T00:00:00Z
Q203781,Q19446,1997-06-01T00:00:00Z,1998-11-21T00:00:00Z
Q203781,Q631,1999-04-27T00:00:00Z,1999-06-30T00:00:00Z
Q203781,Q201360,1999-08-02T00:00:00Z,2000-06-30T00:00:00Z
Q203781,Q188430,2000-07-01T00:00:00Z,2001-06-30T00:00:00Z
Q203781,Q2798,2001-07-01T00:00:00Z,2001-12-10T00:00:00Z
